iso2,iso3,lat,lon
VA,VAT,41.903282,12.453387
SM,SMR,43.936096,12.441770
LI,LIE,47.133724,9.516670
LU,LUX,49.611660,6.130003
FM,FSM,6.916644,158.149974
MH,MHL,7.103004,171.380000
TV,TUV,-8.516652,179.216647
PW,PLW,7.487396,134.626549
MC,MCO,43.739646,7.406913
KI,KIR,1.338188,173.017571
KM,COM,-11.704158,43.240244
AD,AND,42.510753,1.526594
TT,TTO,10.651997,-61.517031
RW,RWA,-1.951644,30.058586
SZ,SWZ,-26.316651,31.133335
SI,SVN,46.055288,14.514969
SK,SVK,48.150018,17.116981
QA,QAT,25.286556,51.532968
ME,MNE,42.465972,19.266307
CH,CHE,46.916683,7.466976
DM,DMA,15.301016,-61.387013
DJ,DJI,11.595014,43.148002
GM,GMB,13.453876,-16.591701
MK,MKD,42.000006,21.433461
BB,BRB,13.102003,-59.616527
BI,BDI,-3.376087,29.360006
VC,VCT,13.155756,-61.220236
LC,LCA,14.007875,-60.992875
KN,KNA,17.302031,-62.717009
MU,MUS,-20.166639,57.499994
GD,GRD,12.052633,-61.741643
BH,BHR,26.236136,50.583052
AG,ATG,17.118036,-61.850034
UY,URY,-34.905376,-56.186823
TG,TGO,6.133883,1.220811
TN,TUN,36.802778,10.179678
AE,ARE,24.466684,54.366593
TM,TKM,37.949995,58.383299
ZM,ZMB,-15.414698,28.281382
ZW,ZWE,-17.815844,31.042764
TL,TLS,-8.559388,125.579456
VU,VUT,-17.733350,168.316641
HN,HND,14.103991,-87.219475
GY,GUY,6.801974,-58.167029
IS,ISL,64.143459,-21.936546
HT,HTI,18.542970,-72.337980
UG,UGA,0.318605,32.581378
SR,SUR,5.835030,-55.167031
NE,NER,13.518652,2.114710
TJ,TJK,38.560035,68.773879
PY,PRY,-25.290671,-57.625834
NI,NIC,12.154962,-86.270437
SL,SLE,8.471957,-13.236162
PK,PAK,33.689368,73.080630
NP,NPL,27.718638,85.314696
ZA,ZAF,-29.119994,26.229913
ZA,ZAF,-25.704975,28.227483
PG,PNG,-9.464708,147.192504
SB,SLB,-9.437994,159.949766
PA,PAN,8.969963,-79.534983
MA,MAR,34.025307,-6.836408
MD,MDA,47.005024,28.857711
MZ,MOZ,-25.953332,32.587217
SO,SOM,2.068627,45.364732
OM,OMN,23.585179,58.378311
LK,LKA,6.931966,79.857751
MN,MNG,47.918619,106.914670
NA,NAM,-22.570006,17.083546
NG,NGA,9.054620,7.489505
GW,GNB,11.865024,-15.598361
JO,JOR,31.951971,35.931354
